bil,negeri,jum_kawasan_felda,parlimen,kategori_kawasan,2018,2013,2008
1,Perlis,3,Padang Besar,Luar bandar,BN,BN,BN
2,Kedah,3,Kubang Pasu,Semi-bandar,PKR,BN,BN
3,Kedah,2,Padang Terap,Luar bandar,BN,BN,PAS
4,Kedah,1,Pendang,Luar bandar,PAS,BN,PAS
5,Kedah,1,Sik,Luar bandar,PAS,BN,PAS
6,Kedah,1,Baling,Luar bandar,BN,BN,PAS
7,Kedah,1,Kulim-Bandar Baharu,Semi-bandar,PKR,BN,PKR
8,Kelantan,4,Tanah Merah,Luar bandar,BN,BN,PKR
9,Kelantan,9,Gua Musang,Luar bandar,BN,BN,BN
10,Terengganu,1,Besut,Semi-bandar,BN,BN,BN
11,Terengganu,3,Setiu,Luar bandar,PAS,BN,BN
12,Terengganu,1,Kuala Nerus,Luar bandar,PAS,PAS,BN
13,Terengganu,3,Hulu Terengganu,Luar bandar,PAS,BN,BN
14,Terengganu,5,Dungun,Semi-bandar,PAS,PAS,BN
15,Terengganu,8,Kemaman,Semi-bandar,PAS,BN,BN
16,Perak,2,Gerik,Luar bandar,BN,BN,BN
17,Perak,3,Lenggong,Luar bandar,BN,BN,BN
18,Perak,1,Larut,Luar bandar,BN,BN,BN
19,Perak,1,Sungai Siput,Semi-bandar,PKR,PKR,PKR
20,Perak,10,Tanjong Malim,Luar bandar,PKR,BN,BN
21,Pahang,4,Cameron Highland,Luar bandar,BN,BN,BN
22,Pahang,2,Lipis,Luar bandar,BN,BN,BN
23,Pahang,4,Raub,Luar bandar,PKR,DAP,BN
24,Pahang,14,Jerantut,Luar bandar,BN,BN,BN
25,Pahang,14,Paya Besar,Luar bandar,BN,BN,BN
26,Pahang,8,Pekan,Luar bandar,BN,BN,BN
27,Pahang,12,Maran,Luar bandar,BN,BN,BN
28,Pahang,15,Kuala Krau,Luar bandar,BN,BN,BN
29,Pahang,2,Temerloh,Semi-bandar,PKR,PAS,BN
30,Pahang,8,Bentong,Luar bandar,PKR,BN,BN
31,Pahang,14,Bera,Luar bandar,BN,BN,BN
32,Pahang,15,Rompin,Luar bandar,BN,BN,BN
33,Selangor,4,Hulu Selangor,Semi-bandar,PKR,BN,PKR
34,Negeri Sembilan,13,Jelebu,Luar bandar,BN,BN,BN
35,Negeri Sembilan,26,Jempol,Luar bandar,BN,BN,BN
36,Negeri Sembilan,1,Kuala Pilah,Semi-bandar,PKR,BN,BN
37,Negeri Sembilan,9,Tampin,Bandar,PKR,BN,BN
38,Melaka,4,Alor Gajah,Luar bandar,PKR,BN,BN
39,Melaka,1,Jasin,Luar bandar,BN,BN,BN
40,Johor,3,Segamat,Luar bandar,PKR,BN,BN
41,Johor,5,Sekijang,Luar bandar,PKR,BN,BN
42,Johor,4,Labis,Luar bandar,PKR,BN,BN
43,Johor,4,Pagoh,Luar bandar,PKR,BN,BN
44,Johor,1,Ledang,Luar bandar,PKR,BN,BN
45,Johor,3,Simpang Renggam,Luar bandar,PKR,BN,BN
46,Johor,5,Sembrong,Luar bandar,BN,BN,BN
47,Johor,12,Mersing,Luar bandar,BN,BN,BN
48,Johor,7,Tenggara,Luar bandar,BN,BN,BN
49,Johor,9,Kota Tinggi,Luar bandar,BN,BN,BN
50,Johor,12,Pengerang,Luar bandar,BN,BN,BN
51,Johor,2,Tebrau,Luar bandar,PKR,BN,BN
52,Johor,5,Kulai,Luar bandar,PKR,DAP,BN
53,Sabah,4,Silam,Luar bandar,Warisan,BN,BN
54,Sabah,3,Kalabakan,Luar bandar,Warisan,BN,BN